Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1961","1961","ha","435435","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1961","1961","hg/ha","31415","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1961","1961","tonnes","1367919","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1962","1962","ha","432097","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1962","1962","hg/ha","33308","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1962","1962","tonnes","1439216","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1963","1963","ha","402746","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1963","1963","hg/ha","31256","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1963","1963","tonnes","1258816","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1964","1964","ha","387957","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1964","1964","hg/ha","29292","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1964","1964","tonnes","1136399","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1965","1965","ha","377250","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1965","1965","hg/ha","31112","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1965","1965","tonnes","1173711","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1966","1966","ha","338713","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1966","1966","hg/ha","32700","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1966","1966","tonnes","1107600","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1967","1967","ha","356167","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1967","1967","hg/ha","35638","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1967","1967","tonnes","1269300","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1968","1968","ha","362476","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1968","1968","hg/ha","40025","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1968","1968","tonnes","1450800","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1969","1969","ha","357940","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1969","1969","hg/ha","39202","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1969","1969","tonnes","1403200","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1970","1970","ha","377288","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1970","1970","hg/ha","36338","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1970","1970","tonnes","1371000","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1971","1971","ha","386391","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1971","1971","hg/ha","40902","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1971","1971","tonnes","1580400","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1972","1972","ha","372110","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1972","1972","hg/ha","38467","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1972","1972","tonnes","1431400","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1973","1973","ha","351351","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1973","1973","hg/ha","36900","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1973","1973","tonnes","1296500","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1974","1974","ha","347988","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1974","1974","hg/ha","41407","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1974","1974","tonnes","1440900","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1975","1975","ha","338972","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1975","1975","hg/ha","40702","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1975","1975","tonnes","1379700","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1976","1976","ha","349855","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1976","1976","hg/ha","35815","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1976","1976","tonnes","1253000","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1977","1977","ha","372500","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1977","1977","hg/ha","49208","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1977","1977","tonnes","1833000","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1978","1978","ha","387839","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1978","1978","hg/ha","45586","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1978","1978","tonnes","1768000","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1979","1979","ha","400942","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1979","1979","hg/ha","47787","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1979","1979","tonnes","1916000","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1980","1980","ha","444000","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1980","1980","hg/ha","46505","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1980","1980","tonnes","2064800","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1981","1981","ha","429000","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1981","1981","hg/ha","47711","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1981","1981","tonnes","2046800","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1982","1982","ha","412500","E","Estimated value"
