Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01341","Apples","2016","2016","1000 Int. $","10290","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01341","Apples","2017","2017","1000 Int. $","10086","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01341","Apples","2018","2018","1000 Int. $","9506","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01341","Apples","2019","2019","1000 Int. $","9383","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01341","Apples","2020","2020","1000 Int. $","9190","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","0115","Barley","2016","2016","1000 Int. $","288323","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","0115","Barley","2017","2017","1000 Int. $","293371","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","0115","Barley","2018","2018","1000 Int. $","230199","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","0115","Barley","2019","2019","1000 Int. $","288265","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","0115","Barley","2020","2020","1000 Int. $","262520","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","0115","Barley","2016","2016","1000 SLC","339614","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","0115","Barley","2017","2017","1000 SLC","447918","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","0115","Barley","2018","2018","1000 SLC","378156","E","Estimated value"
