Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","250","France","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2018","2018","1000 Int. $","5713","E","Estimated value"
"QV","Value of Agricultural Production","250","France","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2019","2019","1000 Int. $","5713","E","Estimated value"
"QV","Value of Agricultural Production","250","France","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2020","2020","1000 Int. $","5916","E","Estimated value"
"QV","Value of Agricultural Production","250","France","152","Gross Production Value (constant 2014-2016 thousand I$)","01341","Apples","2018","2018","1000 Int. $","821448","E","Estimated value"
"QV","Value of Agricultural Production","250","France","152","Gross Production Value (constant 2014-2016 thousand I$)","01341","Apples","2019","2019","1000 Int. $","827655","E","Estimated value"
"QV","Value of Agricultural Production","250","France","152","Gross Production Value (constant 2014-2016 thousand I$)","01341","Apples","2020","2020","1000 Int. $","764586","E","Estimated value"
"QV","Value of Agricultural Production","250","France","56","Gross Production Value (current thousand SLC)","01341","Apples","2018","2018","1000 SLC","1125258","E","Estimated value"
"QV","Value of Agricultural Production","250","France","56","Gross Production Value (current thousand SLC)","01341","Apples","2019","2019","1000 SLC","1044490","E","Estimated value"
"QV","Value of Agricultural Production","250","France","56","Gross Production Value (current thousand SLC)","01341","Apples","2020","2020","1000 SLC","1030357","E","Estimated value"
"QV","Value of Agricultural Production","250","France","55","Gross Production Value (constant 2014-2016 thousand SLC)","01341","Apples","2018","2018","1000 SLC","979469","E","Estimated value"
"QV","Value of Agricultural Production","250","France","55","Gross Production Value (constant 2014-2016 thousand SLC)","01341","Apples","2019","2019","1000 SLC","986870","E","Estimated value"
"QV","Value of Agricultural Production","250","France","55","Gross Production Value (constant 2014-2016 thousand SLC)","01341","Apples","2020","2020","1000 SLC","911668","E","Estimated value"
"QV","Value of Agricultural Production","250","France","57","Gross Production Value (current thousand US$)","01341","Apples","2018","2018","1000 US$","1328879","E","Estimated value"
"QV","Value of Agricultural Production","250","France","57","Gross Production Value (current thousand US$)","01341","Apples","2019","2019","1000 US$","1169280","E","Estimated value"
"QV","Value of Agricultural Production","250","France","57","Gross Production Value (current thousand US$)","01341","Apples","2020","2020","1000 US$","1176870","E","Estimated value"
"QV","Value of Agricultural Production","250","France","58","Gross Production Value (constant 2014-2016 thousand US$)","01341","Apples","2018","2018","1000 US$","1151084","E","Estimated value"
"QV","Value of Agricultural Production","250","France","58","Gross Production Value (constant 2014-2016 thousand US$)","01341","Apples","2019","2019","1000 US$","1159781","E","Estimated value"
"QV","Value of Agricultural Production","250","France","58","Gross Production Value (constant 2014-2016 thousand US$)","01341","Apples","2020","2020","1000 US$","1071404","E","Estimated value"
"QV","Value of Agricultural Production","250","France","152","Gross Production Value (constant 2014-2016 thousand I$)","01343","Apricots","2018","2018","1000 Int. $","92463","E","Estimated value"
"QV","Value of Agricultural Production","250","France","152","Gross Production Value (constant 2014-2016 thousand I$)","01343","Apricots","2019","2019","1000 Int. $","110409","E","Estimated value"
"QV","Value of Agricultural Production","250","France","152","Gross Production Value (constant 2014-2016 thousand I$)","01343","Apricots","2020","2020","1000 Int. $","70299","E","Estimated value"
"QV","Value of Agricultural Production","250","France","56","Gross Production Value (current thousand SLC)","01343","Apricots","2018","2018","1000 SLC","164717","E","Estimated value"
"QV","Value of Agricultural Production","250","France","56","Gross Production Value (current thousand SLC)","01343","Apricots","2019","2019","1000 SLC","174391","E","Estimated value"
"QV","Value of Agricultural Production","250","France","56","Gross Production Value (current thousand SLC)","01343","Apricots","2020","2020","1000 SLC","163490","E","Estimated value"
"QV","Value of Agricultural Production","250","France","55","Gross Production Value (constant 2014-2016 thousand SLC)","01343","Apricots","2018","2018","1000 SLC","143720","E","Estimated value"
"QV","Value of Agricultural Production","250","France","55","Gross Production Value (constant 2014-2016 thousand SLC)","01343","Apricots","2019","2019","1000 SLC","171614","E","Estimated value"
"QV","Value of Agricultural Production","250","France","55","Gross Production Value (constant 2014-2016 thousand SLC)","01343","Apricots","2020","2020","1000 SLC","109270","E","Estimated value"
"QV","Value of Agricultural Production","250","France","57","Gross Production Value (current thousand US$)","01343","Apricots","2018","2018","1000 US$","194523","E","Estimated value"
"QV","Value of Agricultural Production","250","France","57","Gross Production Value (current thousand US$)","01343","Apricots","2019","2019","1000 US$","195226","E","Estimated value"
"QV","Value of Agricultural Production","250","France","57","Gross Production Value (current thousand US$)","01343","Apricots","2020","2020","1000 US$","186737","E","Estimated value"
"QV","Value of Agricultural Production","250","France","58","Gross Production Value (constant 2014-2016 thousand US$)","01343","Apricots","2018","2018","1000 US$","167609","E","Estimated value"
"QV","Value of Agricultural Production","250","France","58","Gross Production Value (constant 2014-2016 thousand US$)","01343","Apricots","2019","2019","1000 US$","200139","E","Estimated value"
"QV","Value of Agricultural Production","250","France","58","Gross Production Value (constant 2014-2016 thousand US$)","01343","Apricots","2020","2020","1000 US$","127432","E","Estimated value"
"QV","Value of Agricultural Production","250","France","152","Gross Production Value (constant 2014-2016 thousand I$)","01216","Artichokes","2018","2018","1000 Int. $","32712","E","Estimated value"
"QV","Value of Agricultural Production","250","France","152","Gross Production Value (constant 2014-2016 thousand I$)","01216","Artichokes","2019","2019","1000 Int. $","26363","E","Estimated value"
"QV","Value of Agricultural Production","250","France","152","Gross Production Value (constant 2014-2016 thousand I$)","01216","Artichokes","2020","2020","1000 Int. $","18148","E","Estimated value"
"QV","Value of Agricultural Production","250","France","56","Gross Production Value (current thousand SLC)","01216","Artichokes","2018","2018","1000 SLC","47005","E","Estimated value"
"QV","Value of Agricultural Production","250","France","56","Gross Production Value (current thousand SLC)","01216","Artichokes","2019","2019","1000 SLC","20537","E","Estimated value"
"QV","Value of Agricultural Production","250","France","56","Gross Production Value (current thousand SLC)","01216","Artichokes","2020","2020","1000 SLC","21304","E","Estimated value"
"QV","Value of Agricultural Production","250","France","55","Gross Production Value (constant 2014-2016 thousand SLC)","01216","Artichokes","2018","2018","1000 SLC","40221","E","Estimated value"
"QV","Value of Agricultural Production","250","France","55","Gross Production Value (constant 2014-2016 thousand SLC)","01216","Artichokes","2019","2019","1000 SLC","32414","E","Estimated value"
"QV","Value of Agricultural Production","250","France","55","Gross Production Value (constant 2014-2016 thousand SLC)","01216","Artichokes","2020","2020","1000 SLC","22314","E","Estimated value"
"QV","Value of Agricultural Production","250","France","57","Gross Production Value (current thousand US$)","01216","Artichokes","2018","2018","1000 US$","55510","E","Estimated value"
"QV","Value of Agricultural Production","250","France","57","Gross Production Value (current thousand US$)","01216","Artichokes","2019","2019","1000 US$","22991","E","Estimated value"
"QV","Value of Agricultural Production","250","France","57","Gross Production Value (current thousand US$)","01216","Artichokes","2020","2020","1000 US$","24334","E","Estimated value"
"QV","Value of Agricultural Production","250","France","58","Gross Production Value (constant 2014-2016 thousand US$)","01216","Artichokes","2018","2018","1000 US$","47374","E","Estimated value"
"QV","Value of Agricultural Production","250","France","58","Gross Production Value (constant 2014-2016 thousand US$)","01216","Artichokes","2019","2019","1000 US$","38178","E","Estimated value"
"QV","Value of Agricultural Production","250","France","58","Gross Production Value (constant 2014-2016 thousand US$)","01216","Artichokes","2020","2020","1000 US$","26282","E","Estimated value"
"QV","Value of Agricultural Production","250","France","152","Gross Production Value (constant 2014-2016 thousand I$)","01211","Asparagus","2018","2018","1000 Int. $","21050","E","Estimated value"
"QV","Value of Agricultural Production","250","France","152","Gross Production Value (constant 2014-2016 thousand I$)","01211","Asparagus","2019","2019","1000 Int. $","20348","E","Estimated value"
"QV","Value of Agricultural Production","250","France","152","Gross Production Value (constant 2014-2016 thousand I$)","01211","Asparagus","2020","2020","1000 Int. $","20786","E","Estimated value"
"QV","Value of Agricultural Production","250","France","56","Gross Production Value (current thousand SLC)","01211","Asparagus","2018","2018","1000 SLC","136045","E","Estimated value"
"QV","Value of Agricultural Production","250","France","56","Gross Production Value (current thousand SLC)","01211","Asparagus","2019","2019","1000 SLC","118308","E","Estimated value"
"QV","Value of Agricultural Production","250","France","56","Gross Production Value (current thousand SLC)","01211","Asparagus","2020","2020","1000 SLC","120161","E","Estimated value"
"QV","Value of Agricultural Production","250","France","55","Gross Production Value (constant 2014-2016 thousand SLC)","01211","Asparagus","2018","2018","1000 SLC","125775","E","Estimated value"
"QV","Value of Agricultural Production","250","France","55","Gross Production Value (constant 2014-2016 thousand SLC)","01211","Asparagus","2019","2019","1000 SLC","121579","E","Estimated value"
"QV","Value of Agricultural Production","250","France","55","Gross Production Value (constant 2014-2016 thousand SLC)","01211","Asparagus","2020","2020","1000 SLC","124194","E","Estimated value"
"QV","Value of Agricultural Production","250","France","57","Gross Production Value (current thousand US$)","01211","Asparagus","2018","2018","1000 US$","160663","E","Estimated value"
"QV","Value of Agricultural Production","250","France","57","Gross Production Value (current thousand US$)","01211","Asparagus","2019","2019","1000 US$","132442","E","Estimated value"
"QV","Value of Agricultural Production","250","France","57","Gross Production Value (current thousand US$)","01211","Asparagus","2020","2020","1000 US$","137247","E","Estimated value"
