"Statistic Label","Year","Type of Meat","UNIT","VALUE"
"Meat Slaughterings","2012","Total Meat","000 Tonnes","923"
"Meat Slaughterings","2012","Beef and veal","000 Tonnes","495"
"Meat Slaughterings","2012","Pig meat","000 Tonnes","241"
"Meat Slaughterings","2012","Sheep meat","000 Tonnes","54"
"Meat Slaughterings","2012","Poultry meat","000 Tonnes","132"
"Meat Slaughterings","2013","Total Meat","000 Tonnes","931"
"Meat Slaughterings","2013","Beef and veal","000 Tonnes","518"
"Meat Slaughterings","2013","Pig meat","000 Tonnes","239"
"Meat Slaughterings","2013","Sheep meat","000 Tonnes","57"
"Meat Slaughterings","2013","Poultry meat","000 Tonnes","117"
"Meat Slaughterings","2014","Total Meat","000 Tonnes","1009"
"Meat Slaughterings","2014","Beef and veal","000 Tonnes","582"
"Meat Slaughterings","2014","Pig meat","000 Tonnes","254"
"Meat Slaughterings","2014","Sheep meat","000 Tonnes","58"
"Meat Slaughterings","2014","Poultry meat","000 Tonnes","116"
"Meat Slaughterings","2015","Total Meat","000 Tonnes","1027"
"Meat Slaughterings","2015","Beef and veal","000 Tonnes","564"
"Meat Slaughterings","2015","Pig meat","000 Tonnes","276"
"Meat Slaughterings","2015","Sheep meat","000 Tonnes","58"
"Meat Slaughterings","2015","Poultry meat","000 Tonnes","128"
"Meat Slaughterings","2016","Total Meat","000 Tonnes","1078"
"Meat Slaughterings","2016","Beef and veal","000 Tonnes","588"
"Meat Slaughterings","2016","Pig meat","000 Tonnes","283"
"Meat Slaughterings","2016","Sheep meat","000 Tonnes","61"
"Meat Slaughterings","2016","Poultry meat","000 Tonnes","146"
"Meat Slaughterings","2017","Total Meat","000 Tonnes","1130.535217"
"Meat Slaughterings","2017","Beef and veal","000 Tonnes","617.0157834"
"Meat Slaughterings","2017","Pig meat","000 Tonnes","294.1706507"
"Meat Slaughterings","2017","Sheep meat","000 Tonnes","67.12232055"
"Meat Slaughterings","2017","Poultry meat","000 Tonnes","152.2264623"
"Meat Slaughterings","2018","Total Meat","000 Tonnes","1150.993711"
"Meat Slaughterings","2018","Beef and veal","000 Tonnes","622.5447705"
"Meat Slaughterings","2018","Pig meat","000 Tonnes","303.2638999"
"Meat Slaughterings","2018","Sheep meat","000 Tonnes","68.40569263"
"Meat Slaughterings","2018","Poultry meat","000 Tonnes","156.7793475"
"Meat Slaughterings","2019","Total Meat","000 Tonnes","1157.266231"
"Meat Slaughterings","2019","Beef and veal","000 Tonnes","619.8042"
"Meat Slaughterings","2019","Pig meat","000 Tonnes","304.3686992"
"Meat Slaughterings","2019","Sheep meat","000 Tonnes","66.0379"
"Meat Slaughterings","2019","Poultry meat","000 Tonnes","167.0554317"
"Meat Slaughterings","2020","Total Meat","000 Tonnes","1196.513963"
"Meat Slaughterings","2020","Beef and veal","000 Tonnes","633.3763"
"Meat Slaughterings","2020","Pig meat","000 Tonnes","320.1299"
"Meat Slaughterings","2020","Sheep meat","000 Tonnes","66.2313"
"Meat Slaughterings","2020","Poultry meat","000 Tonnes","176.7764632"
"Meat Slaughterings","2021","Total Meat","000 Tonnes","1169.054878"
"Meat Slaughterings","2021","Beef and veal","000 Tonnes","594.5054"
"Meat Slaughterings","2021","Pig meat","000 Tonnes","335.1332"
"Meat Slaughterings","2021","Sheep meat","000 Tonnes","63.4324"
"Meat Slaughterings","2021","Poultry meat","000 Tonnes","175.9838784"
"Meat Imports","2012","Total Meat","000 Tonnes","247"
"Meat Imports","2012","Beef and veal","000 Tonnes","52"
"Meat Imports","2012","Pig meat","000 Tonnes","87"
"Meat Imports","2012","Sheep meat","000 Tonnes","4"
"Meat Imports","2012","Poultry meat","000 Tonnes","104"
"Meat Imports","2013","Total Meat","000 Tonnes","262"
"Meat Imports","2013","Beef and veal","000 Tonnes","34"
"Meat Imports","2013","Pig meat","000 Tonnes","105"
"Meat Imports","2013","Sheep meat","000 Tonnes","6"
"Meat Imports","2013","Poultry meat","000 Tonnes","117"
"Meat Imports","2014","Total Meat","000 Tonnes","270"
"Meat Imports","2014","Beef and veal","000 Tonnes","30"
"Meat Imports","2014","Pig meat","000 Tonnes","105"
"Meat Imports","2014","Sheep meat","000 Tonnes","5"
